mgmt_d_keywords.Keyword,Type_A_keywords_curated.Keyword
"""""fish habitat""""",fish
acidification,kokanee
agricultural,mesh
agriculture,bait
agroforestry,lakes
airports,creek
alga,corkline
angler,fishwheel
angling,purse
aquaculture,fish
aquarium,kokanee
aqueduct,mesh
area,bait
artificial,lakes
avalanch,creek
barrier,corkline
bathing,fishwheel
beach,purse
beaver,fish
biocontrol,kokanee
biodiversity,mesh
biofuel,bait
blight,lakes
blizzard,creek
board,corkline
breeding,fishwheel
bridge,purse
campground,fish
campsites,kokanee
canals,mesh
cargo,bait
catchment,lakes
causeway,creek
cemetery,corkline
channel,fishwheel
channelization,purse
chemical,fish
CO2,kokanee
coal,mesh
cold,bait
committee,lakes
concern,creek
critical,corkline
crop,fishwheel
culvert,purse
cyclone,fish
dairy,kokanee
dam,mesh
deleterious,bait
desalination,lakes
development,creek
dike,corkline
disease,fishwheel
dressed,purse
drilling,fish
drinking,kokanee
drought,mesh
earthquake,bait
ecologic,lakes
endangered,creek
environ,corkline
eruption,fishwheel
exotic,purse
extinct,fish
extirpated,kokanee
facilities,mesh
farm,bait
feral,lakes
fertilizer,creek
fiber,corkline
finfish,fishwheel
firewood,purse
fishery,fish
fishing,kokanee
flood,mesh
forest,bait
forestry,lakes
fracturing,creek
freeze,corkline
gas,fishwheel
genetically-modified,purse
geothermal,fish
glacier,kokanee
gold,mesh
golf,bait
groundwater,lakes
hail,creek
harvest,corkline
hatchery,fishwheel
hay,purse
heat,fish
herbicide,kokanee
herding,mesh
highway,bait
hook,lakes
hospital,creek
house,corkline
housing,fishwheel
hurricane,purse
industrial,fish
introduced,kokanee
invasive,mesh
jet-skis,bait
lake,lakes
landfills,creek
landslide,corkline
lane,fishwheel
leaching,purse
leakage,fish
levee,kokanee
limit,mesh
line,bait
listed,lakes
logging,creek
manufacturing,corkline
manure,fishwheel
marina,purse
melt,fish
military,kokanee
mines,mesh
mining,bait
motorboats,lakes
mussel,creek
net,corkline
nonferal,fishwheel
non-native,purse
nutrient,fish
off-road,kokanee
oil,mesh
orchard,bait
outbreak,lakes
outhouses,creek
oxygen,corkline
panning,fishwheel
park,purse
passage,fish
pen,kokanee
pest,mesh
pesticide,bait
pier,lakes
pipeline,creek
placer,corkline
plague,fishwheel
plantation,purse
pond,fish
ports,kokanee
possess,mesh
powerline,bait
powers,lakes
pulp,creek
pumping,corkline
quarries,fishwheel
quarry,purse
quota,fish
railroad,kokanee
ranch,mesh
range,bait
research,lakes
reservoir,creek
riparian,corkline
risk,fishwheel
river,purse
road,fish
rural,kokanee
salinity,mesh
school,bait
sea-level,lakes
sedimentation,creek
seine,corkline
septic,fishwheel
sewage,purse
shipping,fish
shop,kokanee
silviculture,mesh
ski,bait
snag,lakes
snowpack,creek
solar,corkline
spill,fishwheel
sport,purse
sportfish,fish
stewardship,kokanee
stock,mesh
storm,bait
stream,lakes
suburb,creek
tailings,corkline
temperature,fishwheel
thaw,purse
threatened,fish
tidal,kokanee
tourist,mesh
toxic,bait
trail,lakes
transport,creek
trawl,corkline
treatment,fishwheel
tsunami,purse
typhoon,fish
urban,kokanee
vehicle,mesh
village,bait
vineyard,lakes
virus,creek
volcano,corkline
wake,fishwheel
waste,purse
water,fish
water,kokanee
wateruse,mesh
wetland,bait
windmill,lakes
wire,creek
yards,corkline
zone,fishwheel
